# the CSV layout may change over time.
# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA (J2000)                         ,RA Uncertainty                     ,DEC (J2000)                        ,DEC Uncertainty                    ,Flux Density                       ,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
#                                  ,                                   ,                                   ,hexagesimal                        ,decimal degrees                    ,hexagesimal                        ,decimal degrees                    ,Jy                                 ,Jy                                 ,GHz                                ,degrees                            ,klambda                            ,klambda                            ,separated by '|'
#width:35                          ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width: until EOL                   
# (note: uvmin: if greater than zero, the scale of the measured (large scale) extent of the source.)
# (note: uvmax: the scale where (small scale) structure has been measured within the source, or a limit on the resolved structure. On angular scales between uvmin and uvmax the source appears as a point source, i.e. the amplitude is constant as a function of scale.)
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,22:53:57.74794                     ,2.77777777778E-8                   ,+16:08:53.5609                     ,2.77777777778E-8                   ,15.61                              ,0.29                               ,1.0349E11                          ,0.29                               ,                                   ,-1323.9                            ,J2253+1608|J2253+161|J225358+160853|3C454.3|B2251+158
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,22:53:57.74794                     ,2.77777777778E-8                   ,+16:08:53.5609                     ,2.77777777778E-8                   ,15.46                              ,0.22                               ,9.146E10                           ,0.22                               ,                                   ,-1323.9                            ,J2253+1608|J2253+161|J225358+160853|3C454.3|B2251+158
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,21:48:05.45867                     ,2.77777777778E-8                   ,+06:57:38.6042                     ,2.77777777778E-8                   ,1.89                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1459.8                            ,J2148+0657|J2148+069|J214805+065743|B2145+067
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,17:33:02.70579                     ,2.77777777778E-8                   ,-13:04:49.5482                     ,2.77777777778E-8                   ,3.01                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-833.6                             ,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,15:17:41.81313                     ,3.05555555556E-8                   ,-24:22:19.4761                     ,2.77777777778E-8                   ,2.18                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1419.8                            ,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,20:56:16.35982                     ,4.16666666667E-8                   ,-47:14:47.6278                     ,2.77777777778E-8                   ,0.77                               ,0.04                               ,1.0349E11                          ,0.04                               ,                                   ,-1285.0                            ,J2056-4714|J2056-472|J205615-471445|B2052-474
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,20:00:57.09044                     ,3.05555555556E-8                   ,-17:48:57.6726                     ,2.77777777778E-8                   ,0.52                               ,0.03                               ,1.0349E11                          ,0.03                               ,                                   ,-321.7                             ,J2000-1748|J2000-178|J200057-174856|B1958-179
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,15:50:35.26924                     ,2.77777777778E-8                   ,+05:27:10.4484                     ,2.77777777778E-8                   ,0.93                               ,0.04                               ,1.0349E11                          ,0.04                               ,                                   ,-1431.6                            ,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,16:42:58.80996                     ,3.61111111111E-8                   ,+39:48:36.9939                     ,2.77777777778E-8                   ,4.0                                ,0.08                               ,1.0349E11                          ,0.08                               ,                                   ,-1197.4                            ,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 3                        ,ALMA                               ,2018-01-28 00:00:00.0              ,14:27:56.29756                     ,3.88888888889E-8                   ,-42:06:19.4377                     ,2.77777777778E-8                   ,3.82                               ,0.08                               ,1.0349E11                          ,0.08                               ,                                   ,-1259.8                            ,J1427-4206|J1427-421|J142755-420612|B1424-418
