# the CSV layout may change over time.
# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA (J2000)                         ,RA Uncertainty                     ,DEC (J2000)                        ,DEC Uncertainty                    ,Flux Density                       ,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
#                                  ,                                   ,                                   ,hexagesimal                        ,decimal degrees                    ,hexagesimal                        ,decimal degrees                    ,Jy                                 ,Jy                                 ,GHz                                ,degrees                            ,klambda                            ,klambda                            ,separated by '|'
#width:35                          ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width: until EOL                   
# (note: uvmin: if greater than zero, the scale of the measured (large scale) extent of the source.)
# (note: uvmax: the scale where (small scale) structure has been measured within the source, or a limit on the resolved structure. On angular scales between uvmin and uvmax the source appears as a point source, i.e. the amplitude is constant as a function of scale.)
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,18:20:23.2875                      ,1.4305555555555555E-6              ,-11:11:12.264                      ,1.686111111111111E-6               ,0.101                              ,0.005                              ,2.33E11                            ,0.005                              ,                                   ,null                               ,J1820-1111|J182023-111111
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,17:53:09.0886                      ,4.7222222222222226E-8              ,-18:43:38.523                      ,9.444444444444445E-8               ,0.102                              ,0.005                              ,2.33E11                            ,0.005                              ,                                   ,-735.0                             ,J1753-1843|J175309-184336
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,17:17:36.0294                      ,8.333333333333333E-8               ,-33:42:08.828                      ,1.611111111111111E-7               ,0.306                              ,0.015                              ,2.33E11                            ,0.015                              ,                                   ,-2558.0                            ,J1717-3342|J1717-337|J171736-334206|B1714-336
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,17:13:09.9415                      ,7.777777777777778E-8               ,-34:18:29.427                      ,1.5833333333333333E-7              ,0.22                               ,0.011                              ,2.33E11                            ,0.011                              ,                                   ,-850.0                             ,J1713-3418|J171310-341827
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,16:50:16.6271                      ,6.944444444444444E-8               ,-50:44:48.210                      ,6.944444444444444E-8               ,0.623                              ,0.044                              ,2.33E11                            ,0.044                              ,                                   ,-316.0                             ,J1650-5044|J165016-504446|B1646-50
ALMA-Band 6                        ,ALMA                               ,2017-05-22 00:00:00.0              ,16:36:55.3756                      ,1.277777777777778E-7               ,-41:02:00.515                      ,1.277777777777778E-7               ,0.145                              ,0.007                              ,2.33E11                            ,0.007                              ,                                   ,-1416.0                            ,J1636-4102|J163655-410200
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,04:26:55.7348                      ,                                   ,+23:27:39.634                      ,                                   ,0.137                              ,0.007                              ,2.33E11                            ,0.007                              ,                                   ,-299.0                             ,J0426+2327|J0426+234|J042655+232741|B0423+233|VLA_0426+234|VLA_J0426+2327
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,03:41:09.9744                      ,                                   ,+33:52:21.648                      ,                                   ,0.039                              ,0.002                              ,2.33E11                            ,0.002                              ,0.0                                ,-630.0                             ,J0341+3352|J034110+335225
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,03:30:34.7664                      ,                                   ,+36:39:41.040                      ,                                   ,0.021                              ,0.001                              ,2.33E11                            ,0.001                              ,                                   ,-664.0                             ,J0330+3639|J033035+363943
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,03:19:24.0100                      ,                                   ,+31:01:44.400                      ,                                   ,0.033                              ,0.002                              ,2.33E11                            ,0.002                              ,0.0                                ,-630.0                             ,J0319+3101|J031924+310148
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,02:28:53.2112                      ,4.7222222222222226E-8              ,-03:37:37.126                      ,8.611111111111111E-8               ,0.096                              ,0.005                              ,2.33E11                            ,0.005                              ,                                   ,null                               ,J0228-0337|J022853-033744
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,02:09:30.7667                      ,5.555555555555556E-8               ,-04:38:26.146                      ,1.2222222222222222E-7              ,0.041                              ,0.002                              ,2.33E11                            ,0.002                              ,                                   ,-1128.0                            ,J0209-0438|J0209-046|J020930-043826|J020931-043830|B0206-048
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,02:08:26.3459                      ,4.444444444444445E-8               ,-00:47:44.293                      ,8.055555555555555E-8               ,0.096                              ,0.005                              ,2.33E11                            ,0.005                              ,                                   ,-377.0                             ,J0208-0047|J0208-004|J020826-004744|B0205-010
ALMA-Band 6                        ,ALMA                               ,2017-05-21 00:00:00.0              ,01:34:32.0301                      ,1.1388888888888888E-7              ,-38:43:33.383                      ,2.3055555555555553E-7              ,0.128                              ,0.006                              ,2.33E11                            ,0.006                              ,                                   ,-2319.0                            ,J0134-3843|J0134-387|J013432-384323|J013432-384333|B0132-389
